Test ID,Scenario,Run,Label,Minute,AP_RSSI,AP_Tx Rate,AP_Noise,AP_MCS,AP_Throughput,AP_FDR,Client_RSSI,Client_Tx Rate,Client_Noise,Client_MCS,Client_Throughput,Client_FDR,GoPing_Min,GoPing_Avg,GoPing_Max,GoPing_Std. Dev,GoPing_Loss
1,1,1,0,Min 00,-67,65,-95,MCS7,56.9,0.899049,-67,65,-95,MCS7,50.5,0.83747,1.57,656.1900823045,847.63,219.2311601311,0.12
2,1,1,0,Min 01,-68,65,-95,MCS7,56.9,0.897799,-68,65,-95,MCS7,54.1,0.874728,686.03,756.4922834646,852.07,32.2794103811,0
3,1,1,1,Min 02,-67,65,-95,MCS7,56.6,0.898497,-65,65,-95,MCS7,54.9,0.879888,263.66,443.3356884876,749,64.2852590601,0.01
4,1,1,0,Min 03,-67,65,-95,MCS7,56.9,0.897817,-65,65,-95,MCS7,54.1,0.880844,429.5,739.8773930754,839.23,66.2406047054,0
5,1,1,0,Min 04,-67,65,-95,MCS7,56.9,0.897296,-66,65,-95,MCS7,54.1,0.881103,669.32,759.0432043011,840.96,33.5630642137,0
6,1,1,0,Min 05,-68,65,-95,MCS7,57.2,0.897312,-65,65,-95,MCS7,54.1,0.88104,673.78,754.9780717489,859.03,32.5280426634,0
7,1,1,0,Min 06,-67,65,-95,MCS7,57.2,0.897105,-67,65,-95,MCS7,54.1,0.880739,670.7,757.4191144708,882.35,34.5624641818,0
8,1,1,0,Min 07,-68,65,-95,MCS7,56.9,0.897591,-67,65,-95,MCS7,54.1,0.880764,213.89,730.9727489177,861.71,93.8785977943,0.05
9,1,1,1,Min 08,-68,65,-95,MCS7,56.4,0.897995,-66,65,-95,MCS7,48.3,0.880624,272.28,415.3847575058,535.87,54.3183295209,0.01
10,1,1,0,Min 09,-67,65,-95,MCS7,55.8,0.897852,-67,65,-95,MCS7,51.8,0.879752,330.05,707.8898167539,855.21,130.3524003587,0
11,2,1,0,Min 00,-66,65,-95,MCS7,53.2,0.864264,-67,65,-95,MCS7,52.9,0.825961,1.49,670.5974031891,853.13,195.6007491952,0.03
12,2,1,0,Min 01,-67,65,-95,MCS7,56.9,0.89822,-66,65,-95,MCS7,53.2,0.852523,655.59,752.2681181619,876.88,34.4120231578,0
13,2,1,1,Min 02,-68,65,-95,MCS7,56.9,0.899656,-67,65,-95,MCS7,54.1,0.859496,202.85,412.9548373102,791.28,91.1682247861,0.03
14,2,1,0,Min 03,-67,65,-95,MCS7,53.7,0.899512,-66,65,-95,MCS7,54.1,0.868302,402.35,734.8956981982,858.11,77.5954354137,0
15,2,1,0,Min 04,-68,65,-95,MCS7,54.9,0.899202,-67,65,-95,MCS7,49.2,0.872176,673.31,758.560043573,873,33.2794526753,0
16,2,1,0,Min 05,-68,65,-95,MCS7,56.9,0.899382,-68,65,-95,MCS7,52.9,0.873901,673.94,757.3643404255,874.12,34.0674774137,0
17,2,1,0,Min 06,-68,65,-95,MCS7,56.9,0.898595,-68,65,-95,MCS7,51.1,0.874481,663.53,755.8313419913,854.46,34.0805727171,0
18,2,1,0,Min 07,-67,65,-95,MCS7,56.9,0.898477,-67,65,-95,MCS7,54.1,0.875361,200.16,736.8529313929,855.17,92.7357432875,0.04
19,2,1,1,Min 08,-67,65,-95,MCS7,53.4,0.898175,-65,65,-95,MCS7,51.1,0.875397,229.94,332.299258427,441.66,37.9928486605,0.01
20,2,1,0,Min 09,-67,65,-95,MCS7,55,0.898233,-66,65,-95,MCS7,50.8,0.876191,396.6,716.6332216495,845.63,89.3310371664,0
21,3,1,0,Min 00,-67,65,-95,MCS7,56.9,0.902586,-67,65,-95,MCS7,54.1,0.892868,1.56,652.0774291939,851.53,220.4291526679,0.12
22,3,1,0,Min 01,-68,65,-95,MCS7,55.5,0.90127,-67,65,-95,MCS7,54.1,0.869896,451,761.6831659389,983.49,43.9032019082,0
23,3,1,1,Min 02,-67,65,-95,MCS7,56.9,0.900967,-67,65,-95,MCS7,51.8,0.872321,177.53,279.716029106,740.03,47.177465764,0.04
24,3,1,0,Min 03,-67,65,-95,MCS7,57.2,0.900784,-67,65,-95,MCS7,54.1,0.879753,268.01,663.4891232227,841.2,170.5596229032,0
25,3,1,0,Min 04,-67,65,-95,MCS7,56.9,0.900476,-67,65,-95,MCS7,54.1,0.880001,676.91,761.3726122449,858.97,32.0348596559,0
26,3,1,0,Min 05,-67,65,-95,MCS7,56.9,0.899795,-68,65,-95,MCS7,54.1,0.880467,671.85,756.6750854701,870.38,33.8249630513,0
27,3,1,0,Min 06,-68,65,-95,MCS7,56.9,0.899428,-65,65,-95,MCS7,52.6,0.880551,678.98,758.1074252874,865.73,32.8109581119,0
28,3,1,0,Min 07,-67,65,-95,MCS7,56.9,0.899647,-65,65,-95,MCS7,54.1,0.880243,226.87,723.1615502183,834.99,128.4581037778,0.05
29,3,1,1,Min 08,-69,65,-95,MCS7,56.9,0.899597,-66,65,-95,MCS7,54.1,0.880175,203.73,285.506875,359.34,24.6887036698,0.01
30,3,1,0,Min 09,-67,65,-95,MCS7,57.2,0.899102,-68,65,-95,MCS7,54.9,0.88007,291.93,696.0482432432,858.07,146.597573124,0
31,4,1,0,Min 00,-67,65,-95,MCS7,56.9,0.899074,-66,65,-95,MCS7,52.9,0.873829,1.28,661.4168852459,849.58,216.4431644397,0.08
32,4,1,0,Min 01,-67,65,-95,MCS7,56.9,0.898131,-67,65,-95,MCS7,54.1,0.877866,676.14,754.7700840336,834.32,31.3717827905,0
33,4,1,1,Min 02,-68,65,-95,MCS7,51.4,0.899959,-68,65,-95,MCS7,44.4,0.881619,1.55,63.8749777778,751.79,81.3978505975,0.03
34,4,1,0,Min 03,-68,65,-95,MCS7,56.9,0.899966,-67,65,-95,MCS7,52.9,0.882682,290.46,746.0932346241,848.91,56.0202896128,0
35,4,1,0,Min 04,-67,65,-95,MCS7,56.9,0.900075,-66,65,-95,MCS7,54.1,0.882057,662.42,757.2941371681,888.71,35.6375500969,0
36,4,1,0,Min 05,-68,65,-95,MCS7,56.9,0.899264,-66,65,-95,MCS7,54.1,0.881717,674.93,753.3853684211,840.45,33.0827643156,0
37,4,1,0,Min 06,-67,65,-95,MCS7,53.5,0.899174,-67,65,-95,MCS7,54.1,0.881203,668.16,756.9566883117,853.12,32.9954705219,0
38,4,1,0,Min 07,-68,65,-95,MCS7,56.9,0.899319,-66,65,-95,MCS7,54.1,0.88098,51.43,699.7368487395,869.29,194.6430952117,0.03
39,4,1,1,Min 08,-67,65,-95,MCS7,35,0.899279,-68,65,-95,MCS7,35,0.881017,1.33,100.3319213974,714.13,152.7279890295,0
40,4,1,0,Min 09,-67,65,-95,MCS7,56.9,0.901288,-67,65,-95,MCS7,54.9,0.881893,665.72,752.9165885417,841.04,33.6964504201,0
41,5,1,0,Min 00,-67,65,-95,MCS7,56.9,0.864634,-66,65,-95,MCS7,54.1,0.831099,1.59,666.3745011086,865.59,214.468930318,0.05
42,5,1,0,Min 01,-67,65,-95,MCS7,56.9,0.897017,-67,65,-95,MCS7,51.1,0.867088,658.21,757.5750542299,872.05,33.9703706461,0
43,5,1,1,Min 02,-67,65,-95,MCS7,35,0.897873,-67,65,-95,MCS7,35,0.876161,1.53,96.2233406593,786.76,106.0004714101,0
44,5,1,0,Min 03,-68,65,-95,MCS7,56.9,0.909866,-68,65,-95,MCS7,54.1,0.890448,170.21,736.238495935,855.75,80.1482433086,0
45,5,1,0,Min 04,-67,65,-95,MCS7,56.9,0.907094,-67,65,-95,MCS7,51.2,0.888391,680.26,758.9107692308,844.4,32.3991128565,0
46,5,1,0,Min 05,-67,65,-95,MCS7,57.2,0.905919,-67,65,-95,MCS7,54.9,0.887901,658.34,750.8461073826,851.41,33.6544583318,0
47,5,1,0,Min 06,-68,65,-95,MCS7,56.9,0.904974,-65,65,-95,MCS7,54.1,0.88691,675.69,757.787881549,843.09,31.9003076202,0
48,5,1,0,Min 07,-67,65,-95,MCS7,57.2,0.904008,-66,65,-95,MCS7,52,0.885825,150.42,696.6222199593,851.31,182.9289863488,0
49,5,1,1,Min 08,-67,65,-95,MCS7,35,0.90383,-67,65,-95,MCS7,35,0.886219,1.58,201.325426009,832.17,159.6859380486,0
