@relation attenuation

@attribute Test_ID numeric
@attribute Scenario numeric
@attribute Run numeric
@attribute Minute {Min00,Min01,Min02,Min03,Min04,Min05,Min06,Min07,Min08,Min09}
@attribute AP_RSSI numeric
@attribute AP_TxRate numeric
@attribute AP_Noise numeric
@attribute AP_MCS {MCS7,MCS6,MCS5,MCS4,MCS2,MCS1,MCS0,5.5M,MCS3}
@attribute AP_Throughput numeric
@attribute AP_FDR numeric
@attribute Client_RSSI numeric
@attribute Client_TxRate numeric
@attribute Client_Noise numeric
@attribute Client_MCS {MCS7,MCS5,MCS4,MCS3,MCS2,MCS1,MCS0,5.5M,MCS6,11.0M}
@attribute Client_Throughput numeric
@attribute Client_FDR numeric
@attribute GoPing_Min numeric
@attribute GoPing_Avg numeric
@attribute GoPing_Max numeric
@attribute GoPing_Std_Dev numeric
@attribute GoPing_Loss numeric
@attribute class {0,1}

@data
1,1,1,Min00,-68,65,-95,MCS7,57.2,0.796053,-67,65,-95,MCS7,54.1,0.854979,27.85,650.982857,938.48,210.728579,0,0
2,1,1,Min01,-68,65,-95,MCS7,57.2,0.901944,-68,65,-95,MCS7,48.3,0.855371,596.55,757.801106,953.56,39.250909,0,0
3,1,1,Min02,-70,58.5,-95,MCS6,49.8,0.892914,-69,65,-95,MCS7,46.8,0.839453,508.71,849.663111,1163.98,88.112375,0,1
4,1,1,Min03,-66,65,-95,MCS7,56.9,0.886099,-69,65,-95,MCS7,48.9,0.83204,482.66,755.382021,981.19,45.863774,0,0
5,1,1,Min04,-68,65,-95,MCS7,56.9,0.890595,-68,65,-95,MCS7,50,0.833117,421.89,752.154109,1014.32,63.588822,0,0
6,1,1,Min05,-68,65,-95,MCS7,56.9,0.894128,-67,65,-95,MCS7,54.1,0.833645,670.6,759.644679,895.89,34.947785,0,0
7,1,1,Min06,-67,65,-95,MCS7,56.9,0.894751,-68,65,-95,MCS7,48.9,0.841355,645.79,755.204112,962.38,40.55986,0,0
8,1,1,Min07,-68,65,-95,MCS7,56.9,0.896314,-67,65,-95,MCS7,49.5,0.841448,658.92,774.901688,1310.65,74.19181,0,0
9,1,1,Min08,-72,58.5,-95,MCS6,44.5,0.879645,-68,58.5,-95,MCS7,43.7,0.83996,532.55,987.537252,1386.11,119.384983,0,1
10,1,1,Min09,-67,65,-95,MCS7,46.8,0.877138,-68,65,-95,MCS7,54.1,0.829376,678,756.410939,850.7,32.236175,0,0
11,2,1,Min00,-66,65,-95,MCS7,57.2,0.90768,-69,65,-95,MCS7,49.8,0.841058,1.5,633.699124,903.94,237.608353,0.08,0
12,2,1,Min01,-68,65,-95,MCS7,56.9,0.902869,-66,65,-95,MCS7,54.1,0.840765,675.95,760.5241,862.12,34.742102,0,0
13,2,1,Min02,-74,52,-95,MCS5,39.2,0.838055,-73,52,-95,MCS5,34.3,0.762808,639.66,1145.397004,1687.27,104.174151,0,1
14,2,1,Min03,-67,65,-95,MCS7,56.9,0.837858,-67,65,-95,MCS7,54.1,0.859444,649.03,756.322064,1093.42,45.26951,0,0
15,2,1,Min04,-67,65,-95,MCS7,56.9,0.897681,-68,65,-95,MCS7,54.9,0.868622,654.88,753.851352,848.17,33.478787,0,0
16,2,1,Min05,-66,65,-95,MCS7,56.9,0.899038,-67,65,-95,MCS7,53.4,0.762609,669.36,759.348341,865.98,34.02167,0,0
17,2,1,Min06,-68,65,-95,MCS7,57.2,0.898952,-67,65,-95,MCS7,54,0.875731,666.88,753.382971,872.94,33.909554,0,0
18,2,1,Min07,-67,65,-95,MCS7,56.9,0.899294,-67,65,-95,MCS7,51.8,0.876848,352.16,793.835041,2379.41,204.43776,0.12,0
19,2,1,Min08,-76,39,-95,MCS4,33.2,0.89945,-75,39,-95,MCS4,27.6,0.721722,694.99,1369.256809,1919.46,212.442802,0.01,1
