@relation Attenuation.AccessLink.Binary_2

@attribute TestID numeric
@attribute AP_RSSI numeric
@attribute AP_TxRate numeric
@attribute AP_Noise numeric
@attribute AP_MCS {MCS7,MCS6,MCS5,MCS4,MCS2,MCS1,MCS0,5.5M,MCS3}
@attribute AP_Throughput numeric
@attribute AP_FDR numeric
@attribute Client_RSSI numeric
@attribute Client_TxRate numeric
@attribute Client_Noise numeric
@attribute Client_MCS numeric
@attribute Client_Throughput {MCS7,MCS5,MCS4,MCS3,MCS2,MCS1,MCS0,5.5M,MCS6,11.0M}
@attribute Client_FDR numeric
@attribute iPerf_Throughput numeric
@attribute GoPing_Min numeric
@attribute GoPing_Avg numeric
@attribute GoPing_Max numeric
@attribute GoPing_Std.Dev numeric
@attribute GoPing_Loss numeric
@attribute class {0,1}

@data
1,-68,65,-95,MCS7,57.2,0.796053,44.048276,-67,65,-95,MCS7,54.1,0.854979,27.85,650.982857,938.48,210.728579,0,0
2,-68,65,-95,MCS7,57.2,0.901944,43.666667,-68,65,-95,MCS7,48.3,0.855371,596.55,757.801106,953.56,39.250909,0,0
3,-70,58.5,-95,MCS6,49.8,0.892914,39.266667,-69,65,-95,MCS7,46.8,0.839453,508.71,849.663111,1163.98,88.112375,0,1
4,-66,65,-95,MCS7,56.9,0.886099,43.176667,-69,65,-95,MCS7,48.9,0.83204,482.66,755.382021,981.19,45.863774,0,0
5,-68,65,-95,MCS7,56.9,0.890595,43.47,-68,65,-95,MCS7,50,0.833117,421.89,752.154109,1014.32,63.588822,0,0
6,-68,65,-95,MCS7,56.9,0.894128,43.373333,-67,65,-95,MCS7,54.1,0.833645,670.6,759.644679,895.89,34.947785,0,0
7,-67,65,-95,MCS7,56.9,0.894751,43.426667,-68,65,-95,MCS7,48.9,0.841355,645.79,755.204112,962.38,40.55986,0,0
8,-68,65,-95,MCS7,56.9,0.896314,43.24,-67,65,-95,MCS7,49.5,0.841448,658.92,774.901688,1310.65,74.19181,0,0
9,-72,58.5,-95,MCS6,44.5,0.879645,33.82,-68,58.5,-95,MCS7,43.7,0.83996,532.55,987.537252,1386.11,119.384983,0,1
10,-67,65,-95,MCS7,46.8,0.877138,42.406667,-68,65,-95,MCS7,54.1,0.829376,678,756.410939,850.7,32.236175,0,0
11,-66,65,-95,MCS7,57.2,0.90768,44.089655,-69,65,-95,MCS7,49.8,0.841058,1.5,633.699124,903.94,237.608353,0.08,0
12,-68,65,-95,MCS7,56.9,0.902869,43.246667,-66,65,-95,MCS7,54.1,0.840765,675.95,760.5241,862.12,34.742102,0,0
13,-74,52,-95,MCS5,39.2,0.838055,29.036667,-73,52,-95,MCS5,34.3,0.762808,639.66,1145.397004,1687.27,104.174151,0,1
14,-67,65,-95,MCS7,56.9,0.837858,42.71,-67,65,-95,MCS7,54.1,0.859444,649.03,756.322064,1093.42,45.26951,0,0
15,-67,65,-95,MCS7,56.9,0.897681,43.583333,-68,65,-95,MCS7,54.9,0.868622,654.88,753.851352,848.17,33.478787,0,0
16,-66,65,-95,MCS7,56.9,0.899038,43.183333,-67,65,-95,MCS7,53.4,0.762609,669.36,759.348341,865.98,34.02167,0,0
17,-68,65,-95,MCS7,57.2,0.898952,43.533333,-67,65,-95,MCS7,54,0.875731,666.88,753.382971,872.94,33.909554,0,0
18,-67,65,-95,MCS7,56.9,0.899294,43.27,-67,65,-95,MCS7,51.8,0.876848,352.16,793.835041,2379.41,204.43776,0.12,0
19,-76,39,-95,MCS4,33.2,0.89945,23.883333,-75,39,-95,MCS4,27.6,0.721722,694.99,1369.256809,1919.46,212.442802,0.01,1
20,-67,65,-95,MCS7,32.8,0.897737,42.5,-66,65,-95,MCS7,54.1,0.875825,650.91,755.72926,844.41,33.112247,0,0
21,-67,65,-95,MCS7,56.9,0.898662,43.868966,-67,65,-95,MCS7,50.5,0.844852,1.5,626.349551,851.55,243.899351,0.12,0
22,-67,65,-95,MCS7,56.9,0.896508,43.376667,-66,65,-95,MCS7,54.1,0.872134,633.65,758.791174,948.57,35.472914,0,0
23,-78,39,-95,MCS4,24.2,0.698944,19.026667,-79,39,-95,MCS4,23.8,0.678729,746.05,1787.017958,2341.39,191.749447,0.01,1
24,-67,65,-95,MCS7,56.9,0.699361,42.643333,-67,65,-95,MCS7,44.4,0.875644,673.14,754.452276,1047.67,37.881793,0,0
25,-68,65,-95,MCS7,57.2,0.896549,43.41,-65,65,-95,MCS7,54.1,0.877065,647.95,755.001266,844.66,33.303097,0,0
26,-68,65,-95,MCS7,56.9,0.89692,43.42,-67,65,-95,MCS7,54.1,0.873944,330.94,756.394874,1145.8,54.23651,0,0
27,-67,65,-95,MCS7,56.9,0.896824,43.31,-66,65,-95,MCS7,54.1,0.880838,676.96,755.388168,858.38,33.003441,0,0
28,-67,65,-95,MCS7,56.9,0.896974,43.33,-67,65,-95,MCS7,54.1,0.880832,331.27,789.177454,3706.32,319.170755,0.24,0
29,-81,19.5,-95,MCS2,16.7,0.89728,13.503793,-83,26,-95,MCS3,14.6,0.721465,631.4,2295.26884,3052.53,581.475109,0,1
