@relation Results.Binary.Updated

@attribute TestID numeric
@attribute AP_RSSI numeric
@attribute AP_TxRate numeric
@attribute AP_Noise numeric
@attribute AP_MCS {MCS7,MCS6,MCS5,MCS4,MCS2,MCS1,MCS0,5.5M,MCS3}
@attribute AP_Throughput numeric
@attribute AP_FDR numeric
@attribute Client_RSSI numeric
@attribute Client_TxRate numeric
@attribute Client_Noise numeric
@attribute Client_MCS {MCS7,MCS5,MCS4,MCS3,MCS2,MCS1,MCS0,5.5M,MCS6,11.0M}
@attribute Client_Throughput numeric
@attribute Client_FDR numeric
@attribute iPerf_Throughput numeric
@attribute GoPing_Min numeric
@attribute GoPing_Avg numeric
@attribute GoPing_Max numeric
@attribute GoPing_Std.Dev numeric
@attribute GoPing_Loss numeric
@attribute class {0,1}

@data
1,-67,65,-95,MCS7,56.9,0.899049,-67,65,-95,MCS7,50.5,0.83747,44.048276,1.57,656.190082,847.63,219.23116,0.12,0
2,-68,65,-95,MCS7,56.9,0.897799,-68,65,-95,MCS7,54.1,0.874728,43.666667,686.03,756.492283,852.07,32.27941,0,0
3,-67,65,-95,MCS7,56.6,0.898497,-65,65,-95,MCS7,54.9,0.879888,39.266667,263.66,443.335688,749,64.285259,0.01,1
4,-67,65,-95,MCS7,56.9,0.897817,-65,65,-95,MCS7,54.1,0.880844,43.176667,429.5,739.877393,839.23,66.240605,0,0
5,-67,65,-95,MCS7,56.9,0.897296,-66,65,-95,MCS7,54.1,0.881103,43.47,669.32,759.043204,840.96,33.563064,0,0
6,-68,65,-95,MCS7,57.2,0.897312,-65,65,-95,MCS7,54.1,0.88104,43.373333,673.78,754.978072,859.03,32.528043,0,0
7,-67,65,-95,MCS7,57.2,0.897105,-67,65,-95,MCS7,54.1,0.880739,43.426667,670.7,757.419114,882.35,34.562464,0,0
8,-68,65,-95,MCS7,56.9,0.897591,-67,65,-95,MCS7,54.1,0.880764,43.24,213.89,730.972749,861.71,93.878598,0.05,0
9,-68,65,-95,MCS7,56.4,0.897995,-66,65,-95,MCS7,48.3,0.880624,33.82,272.28,415.384758,535.87,54.31833,0.01,1
10,-67,65,-95,MCS7,55.8,0.897852,-67,65,-95,MCS7,51.8,0.879752,42.406667,330.05,707.889817,855.21,130.3524,0,0
11,-66,65,-95,MCS7,53.2,0.864264,-67,65,-95,MCS7,52.9,0.825961,44.089655,1.49,670.597403,853.13,195.600749,0.03,0
12,-67,65,-95,MCS7,56.9,0.89822,-66,65,-95,MCS7,53.2,0.852523,43.246667,655.59,752.268118,876.88,34.412023,0,0
13,-68,65,-95,MCS7,56.9,0.899656,-67,65,-95,MCS7,54.1,0.859496,29.036667,202.85,412.954837,791.28,91.168225,0.03,1
14,-67,65,-95,MCS7,53.7,0.899512,-66,65,-95,MCS7,54.1,0.868302,42.71,402.35,734.895698,858.11,77.595435,0,0
15,-68,65,-95,MCS7,54.9,0.899202,-67,65,-95,MCS7,49.2,0.872176,43.583333,673.31,758.560044,873,33.279453,0,0
16,-68,65,-95,MCS7,56.9,0.899382,-68,65,-95,MCS7,52.9,0.873901,43.183333,673.94,757.36434,874.12,34.067477,0,0
17,-68,65,-95,MCS7,56.9,0.898595,-68,65,-95,MCS7,51.1,0.874481,43.533333,663.53,755.831342,854.46,34.080573,0,0
18,-67,65,-95,MCS7,56.9,0.898477,-67,65,-95,MCS7,54.1,0.875361,43.27,200.16,736.852931,855.17,92.735743,0.04,0
19,-67,65,-95,MCS7,53.4,0.898175,-65,65,-95,MCS7,51.1,0.875397,23.883333,229.94,332.299258,441.66,37.992849,0.01,1
20,-67,65,-95,MCS7,55,0.898233,-66,65,-95,MCS7,50.8,0.876191,42.5,396.6,716.633222,845.63,89.331037,0,0
21,-67,65,-95,MCS7,56.9,0.902586,-67,65,-95,MCS7,54.1,0.892868,43.868966,1.56,652.077429,851.53,220.429153,0.12,0
